year_quarter,station_id,unique_bikes,total_trips,trips_per_bike
2022Q4,3197,502,676,1.346613545816733
2022Q4,3200,387,516,1.3333333333333333
2022Q4,3201,821,1270,1.5468940316686968
2022Q4,3202,267,362,1.3558052434456929
2022Q4,3203,1041,2039,1.9586935638808838
2022Q4,3204,796,1249,1.5690954773869348
2022Q4,3205,863,1320,1.52954808806489
2022Q4,3206,674,1004,1.489614243323442
2022Q4,3207,1088,1938,1.78125
2022Q4,3208,1287,2701,2.098679098679099
2022Q4,3209,548,722,1.3175182481751824
2022Q4,3210,413,742,1.7966101694915255
2022Q4,3211,414,587,1.4178743961352658
2022Q4,3212,806,1563,1.9392059553349876
2022Q4,3226,141,175,1.2411347517730495
2022Q4,3233,401,483,1.2044887780548628
2022Q4,3234,618,863,1.396440129449838
2022Q4,3235,628,902,1.4363057324840764
2022Q4,3236,594,871,1.4663299663299663
2022Q4,3237,288,371,1.2881944444444444
2022Q4,3238,1052,1838,1.747148288973384
2022Q4,3240,78,115,1.4743589743589745
2022Q4,3241,353,513,1.453257790368272
2022Q4,3243,116,210,1.8103448275862069
2022Q4,3244,1125,2205,1.96
2022Q4,3245,709,1165,1.6431593794076165
2022Q4,3246,358,484,1.3519553072625698
2022Q4,3247,62,75,1.2096774193548387
2022Q4,3248,678,988,1.4572271386430677
2022Q4,3249,624,991,1.5881410256410255
2022Q4,3250,338,427,1.2633136094674555
2022Q4,3251,163,198,1.2147239263803682
2022Q4,3252,528,784,1.4848484848484849
2022Q4,3253,200,245,1.225
2022Q4,3254,296,471,1.5912162162162162
2022Q4,3255,1074,1897,1.766294227188082
2022Q4,3256,1082,1926,1.78003696857671
2022Q4,3257,376,492,1.3085106382978724
2022Q4,3258,235,301,1.2808510638297872
2022Q4,3259,544,750,1.3786764705882353
2022Q4,3261,686,1043,1.5204081632653061
2022Q4,3263,305,385,1.2622950819672132
2022Q4,3264,967,1595,1.6494312306101344
2022Q4,3265,624,919,1.4727564102564104
2022Q4,3266,405,542,1.3382716049382717
2022Q4,3267,298,360,1.2080536912751678
2022Q4,3271,142,169,1.1901408450704225
2022Q4,3272,128,182,1.421875
2022Q4,3273,365,536,1.4684931506849315
2022Q4,3275,324,409,1.2623456790123457
2022Q4,3276,386,506,1.310880829015544
2022Q4,3277,157,192,1.2229299363057324
2022Q4,3278,90,140,1.5555555555555556
2022Q4,3279,382,442,1.1570680628272252
2022Q4,3280,42,47,1.119047619047619
2022Q4,3281,89,143,1.6067415730337078
2022Q4,3282,63,71,1.126984126984127
2022Q4,3284,52,58,1.1153846153846154
2022Q4,3285,77,84,1.0909090909090908
2022Q4,3286,532,749,1.4078947368421053
2022Q4,3287,228,294,1.2894736842105263
2022Q4,3291,70,98,1.4
2022Q4,3294,524,747,1.4255725190839694
2022Q4,3295,949,1732,1.8250790305584825
2022Q4,3296,1190,2636,2.215126050420168
2022Q4,3298,35,46,1.3142857142857143
2022Q4,3299,145,173,1.193103448275862
2022Q4,3300,47,50,1.0638297872340425
2020Q1,3000,15,15,1.0
2020Q1,3004,449,598,1.3318485523385302
2020Q1,3005,382,479,1.2539267015706805
2020Q1,3006,565,963,1.704424778761062
2020Q1,3007,866,1747,2.0173210161662816
2020Q1,3008,255,360,1.411764705882353
2020Q1,3009,651,1111,1.706605222734255
2020Q1,3010,1052,2473,2.3507604562737643
2020Q1,3011,338,468,1.3846153846153846
2020Q1,3012,808,1453,1.7982673267326732
2020Q1,3013,475,704,1.4821052631578948
2020Q1,3014,14,14,1.0
2020Q1,3015,480,674,1.4041666666666666
2020Q1,3016,119,133,1.1176470588235294
2020Q1,3017,184,231,1.2554347826086956
2020Q1,3018,689,1130,1.6400580551523947
2020Q1,3019,382,488,1.2774869109947644
2020Q1,3020,797,1362,1.7089084065244668
2020Q1,3021,740,1178,1.5918918918918918
2020Q1,3022,884,1735,1.9626696832579185
2020Q1,3024,337,468,1.3887240356083086
2020Q1,3025,524,777,1.4828244274809161
2020Q1,3026,733,1295,1.766712141882674
2020Q1,3028,889,1799,2.0236220472440944
2020Q1,3029,665,1030,1.5488721804511278
2020Q1,3030,636,971,1.5267295597484276
2020Q1,3031,477,773,1.620545073375262
2020Q1,3032,996,2201,2.209839357429719
2020Q1,3033,659,1065,1.6160849772382397
2020Q1,3034,578,979,1.693771626297578
2020Q1,3035,328,433,1.3201219512195121
2020Q1,3037,689,1206,1.7503628447024673
2020Q1,3038,775,1372,1.7703225806451612
2020Q1,3039,444,598,1.3468468468468469
2020Q1,3040,624,916,1.4679487179487178
2020Q1,3041,354,522,1.4745762711864407
2020Q1,3043,512,742,1.44921875
2020Q1,3045,946,1965,2.0771670190274842
2020Q1,3046,683,1137,1.664714494875549
2020Q1,3047,594,892,1.5016835016835017
2020Q1,3049,294,361,1.227891156462585
2020Q1,3050,532,752,1.413533834586466
2020Q1,3051,743,1250,1.6823687752355316
2020Q1,3052,976,2080,2.1311475409836067
2020Q1,3053,581,982,1.6901893287435457
2020Q1,3054,951,2024,2.128286014721346
2020Q1,3055,670,1092,1.6298507462686567
2020Q1,3056,644,1090,1.6925465838509317
2020Q1,3057,659,1196,1.8148710166919575
2020Q1,3058,715,1170,1.6363636363636365
2020Q1,3059,608,930,1.5296052631578947
2020Q1,3060,450,579,1.2866666666666666
2020Q1,3061,775,1256,1.6206451612903225
2020Q1,3062,578,850,1.4705882352941178
2020Q1,3063,701,1177,1.6790299572039944
2020Q1,3064,667,1149,1.72263868065967
2020Q1,3065,200,254,1.27
2020Q1,3066,830,1572,1.893975903614458
2020Q1,3067,123,174,1.4146341463414633
2020Q1,3068,672,1130,1.681547619047619
2020Q1,3069,573,885,1.544502617801047
2020Q1,3070,324,436,1.345679012345679
2020Q1,3071,368,504,1.3695652173913044
2020Q1,3072,316,449,1.4208860759493671
2020Q1,3073,453,625,1.379690949227373
2020Q1,3074,398,555,1.3944723618090453
2020Q1,3075,507,835,1.6469428007889546
2020Q1,3077,293,402,1.372013651877133
2020Q1,3078,801,1406,1.7553058676654183
2020Q1,3086,710,1153,1.623943661971831
2020Q1,3088,385,512,1.3298701298701299
2020Q1,3093,91,132,1.4505494505494505
2020Q1,3096,99,216,2.1818181818181817
2020Q1,3097,228,362,1.587719298245614
2020Q1,3098,467,664,1.4218415417558887
2020Q1,3099,340,431,1.2676470588235293
2020Q1,3100,667,1045,1.5667166416791605
2020Q1,3101,978,2128,2.1758691206543967
2020Q1,3102,886,1879,2.120767494356659
2020Q1,3104,164,182,1.1097560975609757
2020Q1,3106,132,199,1.5075757575757576
2020Q1,3107,203,277,1.3645320197044335
2020Q1,3108,825,1665,2.018181818181818
2020Q1,3110,279,405,1.4516129032258065
2020Q1,3111,149,218,1.4630872483221478
2020Q1,3112,287,372,1.2961672473867596
2020Q1,3113,75,96,1.28
2020Q1,3114,690,1154,1.672463768115942
2020Q1,3115,219,265,1.2100456621004567
2020Q1,3116,468,628,1.3418803418803418
2020Q1,3117,63,83,1.3174603174603174
2020Q1,3118,247,323,1.3076923076923077
2020Q1,3119,195,316,1.6205128205128205
2020Q1,3120,511,725,1.4187866927592956
2020Q1,3121,584,967,1.6558219178082192
2020Q1,3123,136,194,1.4264705882352942
2020Q1,3124,260,332,1.2769230769230768
2020Q1,3125,694,1148,1.654178674351585
2020Q1,3129,572,903,1.5786713286713288
2020Q1,3150,257,326,1.2684824902723735
2020Q1,3152,261,335,1.2835249042145593
2020Q1,3153,197,270,1.3705583756345177
2020Q1,3154,583,1119,1.9193825042881647
2020Q1,3155,640,1077,1.6828125
2020Q1,3156,782,1406,1.7979539641943734
2020Q1,3157,410,604,1.473170731707317
2020Q1,3158,346,505,1.4595375722543353
2020Q1,3159,459,651,1.4183006535947713
2020Q1,3160,624,1028,1.6474358974358974
2020Q1,3161,760,1268,1.668421052631579
2020Q1,3162,588,894,1.5204081632653061
2020Q1,3163,592,974,1.6452702702702702
2020Q1,3164,313,414,1.3226837060702876
2020Q1,3165,464,713,1.5366379310344827
2020Q1,3166,253,327,1.2924901185770752
2020Q1,3167,934,2008,2.1498929336188435
2020Q1,3168,837,1598,1.909199522102748
2020Q1,3169,317,414,1.3059936908517351
2020Q1,3170,629,979,1.5564387917329094
2020Q1,3181,39,55,1.4102564102564104
2020Q1,3182,724,1233,1.7030386740331491
2020Q1,3183,31,40,1.2903225806451613
2020Q1,3184,96,107,1.1145833333333333
2020Q1,3185,789,1390,1.761723700887199
2020Q1,3186,25,138,5.52
2020Q1,3187,449,614,1.3674832962138084
2020Q1,3188,102,148,1.4509803921568627
2020Q1,3190,935,1856,1.9850267379679145
2020Q1,3192,344,453,1.316860465116279
2020Q1,3195,797,1372,1.7214554579673778
2020Q1,3196,50,63,1.26
2020Q1,3197,437,611,1.3981693363844394
2020Q1,3200,228,338,1.4824561403508771
2020Q1,3201,474,643,1.3565400843881856
2020Q1,3202,831,1745,2.099879663056558
2020Q1,3203,615,994,1.616260162601626
2020Q1,3204,370,510,1.3783783783783783
2020Q1,3205,440,569,1.2931818181818182
2020Q1,3206,728,1234,1.695054945054945
2020Q1,3208,741,1344,1.8137651821862348
2020Q1,3209,388,532,1.3711340206185567
2020Q1,3210,317,512,1.615141955835962
2020Q1,3211,154,183,1.1883116883116882
2018Q4,3000,2,2,1.0
2018Q4,3004,733,1200,1.6371077762619373
2018Q4,3005,624,954,1.5288461538461537
2018Q4,3006,529,765,1.446124763705104
2018Q4,3007,981,2146,2.1875637104994903
2018Q4,3008,394,545,1.383248730964467
2018Q4,3009,802,1636,2.039900249376559
2018Q4,3010,1204,3457,2.8712624584717608
2018Q4,3011,402,648,1.6119402985074627
2018Q4,3012,1068,2579,2.4147940074906367
2018Q4,3013,626,966,1.5431309904153354
2018Q4,3014,319,417,1.3072100313479624
2018Q4,3015,717,1133,1.5801952580195258
2018Q4,3016,221,332,1.502262443438914
2018Q4,3017,125,165,1.32
2018Q4,3018,871,1719,1.973593570608496
2018Q4,3019,562,801,1.4252669039145907
2018Q4,3020,1088,2813,2.5854779411764706
2018Q4,3021,1198,3577,2.9858096828046743
2018Q4,3022,945,2016,2.1333333333333333
2018Q4,3024,418,632,1.5119617224880382
2018Q4,3025,781,1375,1.7605633802816902
2018Q4,3026,758,1253,1.6530343007915567
2018Q4,3027,346,428,1.2369942196531791
2018Q4,3028,949,1981,2.0874604847207587
2018Q4,3029,924,1915,2.0725108225108224
2018Q4,3030,714,1125,1.5756302521008403
2018Q4,3031,703,1212,1.7240398293029873
2018Q4,3032,1058,2615,2.4716446124763705
2018Q4,3033,759,1272,1.6758893280632412
2018Q4,3034,774,1395,1.802325581395349
2018Q4,3035,346,544,1.5722543352601157
2018Q4,3036,310,380,1.2258064516129032
2018Q4,3037,778,1291,1.6593830334190232
2018Q4,3038,958,1896,1.9791231732776617
2018Q4,3039,601,905,1.5058236272878536
2018Q4,3040,945,1785,1.8888888888888888
2018Q4,3041,433,652,1.5057736720554273
2018Q4,3043,563,917,1.6287744227353464
2018Q4,3045,1141,2991,2.621384750219106
2018Q4,3046,806,1488,1.8461538461538463
2018Q4,3047,796,1433,1.800251256281407
2018Q4,3049,315,405,1.2857142857142858
2018Q4,3050,673,1100,1.6344725111441307
2018Q4,3051,850,1476,1.7364705882352942
2018Q4,3052,1085,2664,2.455299539170507
2018Q4,3053,713,1281,1.7966339410939691
2018Q4,3054,1056,2745,2.5994318181818183
2018Q4,3055,718,1208,1.682451253481894
2018Q4,3056,662,1132,1.7099697885196374
2018Q4,3057,917,2026,2.2093784078516903
2018Q4,3058,894,1733,1.9384787472035794
2018Q4,3059,817,1465,1.7931456548347613
2018Q4,3060,582,843,1.4484536082474226
2018Q4,3061,898,1739,1.9365256124721604
2018Q4,3062,622,952,1.5305466237942122
2018Q4,3063,787,1412,1.7941550190597204
2018Q4,3064,818,1447,1.7689486552567237
2018Q4,3065,167,220,1.3173652694610778
2018Q4,3066,938,1898,2.023454157782516
2018Q4,3067,164,307,1.8719512195121952
2018Q4,3068,793,1458,1.8385876418663303
2018Q4,3069,621,973,1.56682769726248
2018Q4,3070,299,369,1.234113712374582
2018Q4,3071,424,584,1.3773584905660377
2018Q4,3072,578,840,1.453287197231834
2018Q4,3073,739,1337,1.8092016238159676
2018Q4,3074,527,793,1.5047438330170777
2018Q4,3075,640,1172,1.83125
2018Q4,3077,351,454,1.2934472934472934
2018Q4,3078,947,1891,1.9968321013727561
2018Q4,3086,819,1549,1.8913308913308913
2018Q4,3088,437,625,1.4302059496567505
2018Q4,3093,92,111,1.2065217391304348
2018Q4,3095,67,88,1.3134328358208955
2018Q4,3096,84,110,1.3095238095238095
2018Q4,3097,330,434,1.3151515151515152
2018Q4,3098,654,1072,1.6391437308868502
2018Q4,3099,536,854,1.5932835820895523
2018Q4,3100,657,1096,1.6681887366818873
2018Q4,3101,1022,2334,2.283757338551859
2018Q4,3102,1030,2432,2.3611650485436892
2018Q4,3103,226,277,1.2256637168141593
2018Q4,3104,322,448,1.391304347826087
2018Q4,3106,151,220,1.4569536423841059
2018Q4,3107,179,234,1.3072625698324023
2018Q4,3108,1038,2401,2.313102119460501
2018Q4,3110,258,305,1.182170542635659
2018Q4,3111,76,105,1.381578947368421
2018Q4,3112,399,543,1.3609022556390977
2018Q4,3113,85,94,1.1058823529411765
2018Q4,3114,810,1501,1.8530864197530865
2018Q4,3115,455,674,1.4813186813186814
2018Q4,3116,626,997,1.5926517571884984
2018Q4,3117,72,95,1.3194444444444444
2018Q4,3118,393,550,1.3994910941475827
2018Q4,3119,237,312,1.3164556962025316
2018Q4,3120,582,848,1.4570446735395188
2018Q4,3121,506,710,1.4031620553359683
2018Q4,3122,23,40,1.7391304347826086
2018Q4,3123,236,325,1.3771186440677967
2018Q4,3124,399,562,1.4085213032581454
2018Q4,3125,735,1277,1.7374149659863947
2018Q4,3129,465,640,1.3763440860215055
2018Q4,3150,351,456,1.2991452991452992
2018Q4,3152,210,249,1.1857142857142857
2018Q4,3153,198,245,1.2373737373737375
2018Q4,3154,696,1062,1.5258620689655173
2018Q4,3155,726,1254,1.7272727272727273
2018Q4,3156,854,1545,1.8091334894613582
2018Q4,3157,365,474,1.2986301369863014
2018Q4,3158,557,834,1.497307001795332
2018Q4,3159,643,981,1.525660964230171
2018Q4,3160,492,694,1.410569105691057
2018Q4,3161,872,1607,1.8428899082568808
2018Q4,3162,669,1054,1.5754857997010463
2018Q4,3163,741,1273,1.7179487179487178
2018Q4,3164,529,712,1.3459357277882797
2018Q4,3165,545,869,1.5944954128440367
2018Q4,3166,389,513,1.3187660668380463
2018Q4,3167,854,1657,1.940281030444965
2018Q4,3168,833,1578,1.894357743097239
2018Q4,3169,544,816,1.5
2018Q4,3170,643,1008,1.567651632970451
2018Q4,3181,88,134,1.5227272727272727
2018Q4,3182,765,1219,1.5934640522875816
2018Q4,3183,66,87,1.3181818181818181
2018Q4,3184,54,56,1.037037037037037
2018Q4,3185,610,951,1.5590163934426229
2018Q4,3186,36,54,1.5
2018Q4,3187,502,688,1.3705179282868525
2018Q4,3188,248,345,1.3911290322580645
2018Q4,3190,1065,2594,2.435680751173709
2018Q4,3192,510,720,1.411764705882353
2021Q4,3000,4,4,1.0
2021Q4,3004,599,866,1.4457429048414023
2021Q4,3005,573,829,1.4467713787085514
2021Q4,3006,847,1637,1.9327036599763872
2021Q4,3007,1227,3707,3.0211898940505297
2021Q4,3008,443,690,1.5575620767494356
2021Q4,3009,1012,2341,2.3132411067193677
2021Q4,3010,1240,4131,3.331451612903226
2021Q4,3011,580,845,1.456896551724138
2021Q4,3012,1121,2634,2.3496877787689563
2021Q4,3013,754,1342,1.779840848806366
2021Q4,3014,546,771,1.4120879120879122
2021Q4,3015,673,1036,1.5393759286775632
2021Q4,3016,289,359,1.2422145328719723
2021Q4,3017,320,528,1.65
2021Q4,3018,1001,2060,2.057942057942058
2021Q4,3019,399,513,1.2857142857142858
2021Q4,3020,1082,2592,2.3955637707948245
2021Q4,3021,1034,2130,2.0599613152804643
2021Q4,3022,1119,2764,2.4700625558534406
2021Q4,3024,434,630,1.4516129032258065
2021Q4,3025,839,1536,1.8307508939213348
2021Q4,3026,933,1771,1.8981779206859593
2021Q4,3028,1085,2623,2.4175115207373272
2021Q4,3029,1032,2243,2.173449612403101
2021Q4,3030,909,1757,1.9328932893289328
2021Q4,3031,712,1235,1.7345505617977528
2021Q4,3032,1215,3521,2.897942386831276
2021Q4,3033,987,2077,2.10435663627153
2021Q4,3034,944,1818,1.9258474576271187
2021Q4,3035,870,2196,2.524137931034483
2021Q4,3037,990,2028,2.0484848484848484
2021Q4,3039,674,1109,1.6454005934718101
2021Q4,3040,890,1755,1.9719101123595506
2021Q4,3041,653,1019,1.560490045941807
2021Q4,3043,704,1408,2.0
2021Q4,3045,1190,3410,2.865546218487395
2021Q4,3046,1084,2571,2.371771217712177
2021Q4,3047,850,1530,1.8
2021Q4,3049,477,701,1.469601677148847
2021Q4,3050,852,1465,1.7194835680751173
2021Q4,3051,830,1562,1.8819277108433734
2021Q4,3052,1181,3349,2.835732430143946
2021Q4,3053,720,1217,1.6902777777777778
2021Q4,3054,1109,2952,2.661857529305681
2021Q4,3055,953,1880,1.9727177334732424
2021Q4,3056,620,1078,1.738709677419355
2021Q4,3057,906,1735,1.9150110375275937
2021Q4,3058,940,1951,2.075531914893617
2021Q4,3059,919,1707,1.8574537540805223
2021Q4,3060,580,878,1.513793103448276
2021Q4,3061,1041,2113,2.0297790585975024
2021Q4,3062,561,798,1.4224598930481283
2021Q4,3063,1028,2285,2.222762645914397
2021Q4,3064,903,1752,1.9401993355481728
2021Q4,3065,416,577,1.3870192307692308
2021Q4,3066,1149,3070,2.6718885987815493
2021Q4,3067,213,269,1.2629107981220657
2021Q4,3068,823,1434,1.7424058323207776
2021Q4,3069,850,1442,1.6964705882352942
2021Q4,3070,441,580,1.3151927437641724
2021Q4,3071,570,854,1.4982456140350877
2021Q4,3072,525,804,1.5314285714285714
2021Q4,3073,643,991,1.5412130637636081
2021Q4,3074,700,1136,1.6228571428571428
2021Q4,3075,826,1595,1.930992736077482
2021Q4,3077,513,785,1.530214424951267
2021Q4,3078,991,1963,1.9808274470232088
2021Q4,3086,585,845,1.4444444444444444
2021Q4,3088,644,1045,1.6226708074534162
2021Q4,3093,74,85,1.1486486486486487
2021Q4,3096,33,36,1.0909090909090908
2021Q4,3097,414,653,1.577294685990338
2021Q4,3098,707,1148,1.6237623762376239
2021Q4,3099,559,840,1.5026833631484795
2021Q4,3100,900,1763,1.958888888888889
2021Q4,3101,1139,2867,2.5171202809482
2021Q4,3102,1020,2437,2.3892156862745098
2021Q4,3104,324,488,1.5061728395061729
2021Q4,3106,180,267,1.4833333333333334
2021Q4,3107,240,311,1.2958333333333334
2021Q4,3108,1044,2442,2.339080459770115
2021Q4,3110,447,689,1.541387024608501
2021Q4,3111,137,204,1.489051094890511
2021Q4,3112,374,527,1.4090909090909092
2021Q4,3113,149,181,1.2147651006711409
2021Q4,3114,990,2148,2.16969696969697
2021Q4,3115,424,547,1.2900943396226414
2021Q4,3116,800,1362,1.7025
2021Q4,3117,111,178,1.6036036036036037
2021Q4,3118,384,562,1.4635416666666667
2021Q4,3119,175,228,1.302857142857143
2021Q4,3120,516,762,1.4767441860465116
2021Q4,3121,771,1498,1.9429312581063554
2021Q4,3123,248,332,1.3387096774193548
2021Q4,3124,406,551,1.3571428571428572
2021Q4,3125,982,2074,2.1120162932790225
2021Q4,3150,556,872,1.5683453237410072
2021Q4,3152,403,553,1.3722084367245657
2021Q4,3153,378,555,1.4682539682539681
2021Q4,3154,1076,2393,2.223977695167286
2021Q4,3155,824,1543,1.8725728155339805
2021Q4,3156,816,1537,1.883578431372549
2021Q4,3157,672,1098,1.6339285714285714
2021Q4,3158,729,1298,1.7805212620027435
2021Q4,3159,885,1588,1.7943502824858757
2021Q4,3160,874,1661,1.90045766590389
2021Q4,3161,923,1730,1.8743228602383533
2021Q4,3162,751,1258,1.6750998668442076
2021Q4,3163,942,1871,1.9861995753715498
2021Q4,3164,728,1198,1.6456043956043955
2021Q4,3165,347,471,1.3573487031700289
2021Q4,3166,532,803,1.5093984962406015
2021Q4,3167,1180,3426,2.9033898305084747
2021Q4,3168,1202,3358,2.793677204658902
2021Q4,3169,756,1317,1.742063492063492
2021Q4,3170,743,1163,1.5652759084791386
2021Q4,3181,81,118,1.4567901234567902
