station_type,total_stations,avg_score,score_std,avg_positive,positive_std,avg_negative,negative_std,avg_days_above,avg_days_below,avg_days_at_mean,avg_trips,avg_std
Non-Expansion,242,-0.03192323579509051,0.00010870833149300673,0.003179838443855402,3.1039442146926214e-05,-0.03510307423894591,9.520323988224978e-05,81,285,0,1.0611824158808085,0.11636889711267204
Expansion Recommended,32,1.5880603004729608,0.005284580877372167,1.7473565644486606,0.004548121420341574,-0.15929626397570018,0.001531356074770362,285,81,0,1.085010575499468,0.09941369188181978
