station_id,normalized_score,station_type
3005,-11.758673006320558,Non-Expansion
3006,93.15283994860033,Non-Expansion
3007,41.13923843081477,Expansion Recommended
3008,-39.139041145429076,Non-Expansion
3009,89.13740455269081,Non-Expansion
3010,82.90362874172135,Expansion Recommended
3012,16.942400149509034,Expansion Recommended
3014,-60.2854578789393,Non-Expansion
3015,26.647811314955884,Non-Expansion
3016,-90.49959991879494,Non-Expansion
3017,-15.026045547521344,Non-Expansion
3019,-62.96469752164811,Non-Expansion
3020,-44.57790621549671,Expansion Recommended
3021,30.207744286844537,Non-Expansion
3022,76.58786131435794,Expansion Recommended
3024,4.616533000264734,Non-Expansion
3025,146.57723982991763,Non-Expansion
3026,17.45248112402645,Non-Expansion
3028,50.356742904781456,Expansion Recommended
3029,-11.816817864609652,Non-Expansion
3030,-5.041119060425766,Expansion Recommended
3032,37.87956013319816,Expansion Recommended
3033,-54.551430269693384,Non-Expansion
3034,1.0250473320381528,Non-Expansion
3035,112.79213442803821,Non-Expansion
3037,35.234912345777275,Non-Expansion
3038,-40.56475941115953,Expansion Recommended
3039,19.83020682587693,Non-Expansion
3040,-35.96007707516504,Non-Expansion
3041,79.39750481367271,Non-Expansion
3046,158.3004213851234,Expansion Recommended
3047,1.072768542409757,Non-Expansion
3049,51.23672043878386,Non-Expansion
3050,-2.1378738472731147,Non-Expansion
3051,19.124909807765498,Non-Expansion
3052,16.056987039412792,Expansion Recommended
3053,42.19891489294102,Non-Expansion
3054,28.530179808872294,Expansion Recommended
3055,-28.33491621414782,Non-Expansion
3056,34.60876832743921,Non-Expansion
3057,110.85918358181442,Non-Expansion
3058,23.35660492128606,Non-Expansion
3059,35.30547683661497,Expansion Recommended
3060,-26.31409825151157,Non-Expansion
3061,-1.7524154275999033,Non-Expansion
3062,-47.87486663739344,Non-Expansion
3063,36.98571476842631,Expansion Recommended
3064,10.423445524158227,Non-Expansion
3065,-62.31984737617549,Non-Expansion
3066,3.2340375104877617,Expansion Recommended
3067,-10.746651261634714,Non-Expansion
3068,-32.21263865492178,Non-Expansion
3069,41.31707121538924,Non-Expansion
3070,-1.3382418001408038,Non-Expansion
3072,81.3582157767384,Non-Expansion
3073,-26.90561105670921,Non-Expansion
3074,66.71779131540237,Non-Expansion
3075,55.320340166976,Non-Expansion
3077,-29.567553125546095,Non-Expansion
3078,-31.606812000272733,Non-Expansion
3086,-53.39707344401656,Non-Expansion
3088,43.053289351390646,Non-Expansion
3093,301.2868846406958,Non-Expansion
3097,-37.639895612098904,Non-Expansion
3098,-22.871466383494603,Non-Expansion
3099,-44.602694215203606,Non-Expansion
3100,10.497054380765496,Non-Expansion
3101,-13.204274338866124,Expansion Recommended
3102,39.313266351671146,Expansion Recommended
3104,385.63914265321637,Non-Expansion
3107,-54.95738302428871,Non-Expansion
3110,140.52221959953926,Non-Expansion
3112,-48.935055379230604,Non-Expansion
3114,13.814530141594597,Non-Expansion
3115,-50.39883851365184,Non-Expansion
3116,-43.87455231756142,Non-Expansion
3118,-42.0060601824569,Non-Expansion
3119,101.84607895877036,Non-Expansion
3120,-33.079204272306995,Non-Expansion
3123,51.06194817774962,Non-Expansion
3124,81.07976529793876,Non-Expansion
3125,38.576180564761714,Non-Expansion
3150,-23.33468091066498,Non-Expansion
3152,-47.957423318856634,Non-Expansion
3154,54.340735749557794,Non-Expansion
3155,22.17766692043745,Non-Expansion
3156,-55.88967203822035,Non-Expansion
3157,-3.3763084532329968,Non-Expansion
3158,-72.48224333376461,Non-Expansion
3159,-48.476814827687456,Non-Expansion
3160,-2.8930321295333843,Non-Expansion
3161,-51.965090940139845,Expansion Recommended
3162,-1.0116185948010077,Non-Expansion
3163,75.07800504058228,Expansion Recommended
3164,-25.097224118139668,Non-Expansion
3165,141.87025315904694,Non-Expansion
3166,-13.175223496662182,Non-Expansion
3168,-3.6685069349233577,Non-Expansion
3169,-44.4637097289247,Non-Expansion
3170,-25.403617136677518,Non-Expansion
3182,37.64123030036273,Non-Expansion
3183,-86.960478669942,Non-Expansion
3185,-9.07116295463581,Expansion Recommended
3187,-45.403696034502914,Non-Expansion
3196,-65.57660544684622,Non-Expansion
3197,-0.2504392082338358,Non-Expansion
3200,74.22678056590333,Non-Expansion
3201,6.138030405728561,Non-Expansion
3203,44.20258972904489,Expansion Recommended
3204,-24.077536784171016,Non-Expansion
3205,-43.21012140146904,Non-Expansion
3207,17.88705687486147,Non-Expansion
3208,-24.35680362537104,Expansion Recommended
3209,-28.37761906592919,Non-Expansion
3210,321.7016879134421,Non-Expansion
3211,-83.13385520664397,Non-Expansion
3212,224.79773465825292,Non-Expansion
3226,-18.72180365161651,Non-Expansion
3233,-14.127762735332915,Non-Expansion
3235,0.25074035377095233,Non-Expansion
3236,-41.74175266283317,Non-Expansion
3237,-40.25258306505373,Non-Expansion
3238,16.053932428447172,Non-Expansion
3241,-76.33462379618429,Non-Expansion
3244,210.13817188032087,Expansion Recommended
3245,197.60307844326286,Non-Expansion
3246,-65.10899003629453,Non-Expansion
3248,-58.25297224904081,Non-Expansion
3249,112.30478564964598,Non-Expansion
3250,-41.27365803887378,Non-Expansion
3251,-96.27054321591879,Non-Expansion
3252,-22.164228808692567,Non-Expansion
3253,-35.88462991116123,Non-Expansion
3255,-49.21580158488466,Non-Expansion
3256,-7.602993264624919,Non-Expansion
3258,24.308223362844565,Non-Expansion
3261,-42.95384763893038,Non-Expansion
3263,2.1271019121600467,Non-Expansion
3264,-17.15197781797006,Non-Expansion
3265,139.8432625118934,Non-Expansion
3266,-73.577731502293,Non-Expansion
